Two-Letter Station Code,Station Name,stop_id,stop_name
RM,Richmond,RICH,Richmond
RM,Richmond,place_RICH,Richmond
EN,El Cerrito Del Norte,DELN,El Cerrito Del Norte
EN,El Cerrito Del Norte,place_DELN,El Cerrito Del Norte
EP,El Cerrito Plaza,PLZA,El Cerrito Plaza
EP,El Cerrito Plaza,place_PLZA,El Cerrito Plaza
NB,North Berkeley,NBRK,North Berkeley
NB,North Berkeley,place_NBRK,North Berkeley
BK,Berkeley,,
AS,Ashby,ASHB,Ashby
AS,Ashby,place_ASHB,Ashby
MA,MacArthur,MCAR,MacArthur
MA,MacArthur,place_MCAR,MacArthur
19,19th Street Oakland,19TH,19th Street Oakland
19,19th Street Oakland,place_19TH,19th Street Oakland
12,12th Street / Oakland City Center,12TH,12th Street / Oakland City Center
12,12th Street / Oakland City Center,place_12TH,12th Street / Oakland City Center
LM,Lake Merritt,LAKE,Lake Merritt
LM,Lake Merritt,place_LAKE,Lake Merritt
FV,Fruitvale,FTVL,Fruitvale
FV,Fruitvale,place_FTVL,Fruitvale
CL,Coliseum,COLS,Coliseum
CL,Coliseum,place_COLS,Coliseum
SL,San Leandro,SANL,San Leandro
SL,San Leandro,place_SANL,San Leandro
BF,Bayfair,,
HY,Hayward,HAYW,Hayward
HY,Hayward,place_HAYW,Hayward
SH,South Hayward,SHAY,South Hayward
SH,South Hayward,place_SHAY,South Hayward
UC,Union City,UCTY,Union City
UC,Union City,place_UCTY,Union City
FM,Fremont,FRMT,Fremont
FM,Fremont,place_FRMT,Fremont
CN,Concord,CONC,Concord
CN,Concord,place_CONC,Concord
PH,Pleasant Hill,,
WC,Walnut Creek,WCRK,Walnut Creek
WC,Walnut Creek,place_WCRK,Walnut Creek
LF,Lafayette,LAFY,Lafayette
LF,Lafayette,place_LAFY,Lafayette
OR,Orinda,ORIN,Orinda
OR,Orinda,place_ORIN,Orinda
RR,Rockridge,ROCK,Rockridge
RR,Rockridge,place_ROCK,Rockridge
OW,West Oakland,WOAK,West Oakland
OW,West Oakland,place_WOAK,West Oakland
EM,Embarcadero,EMBR,Embarcadero
EM,Embarcadero,place_EMBR,Embarcadero
MT,Montgomery Street,MONT,Montgomery Street
MT,Montgomery Street,place_MONT,Montgomery Street
PL,Powell Street,POWL,Powell Street
PL,Powell Street,place_POWL,Powell Street
CC,Civic Center,,
16,16th Street Mission,,
24,24th Street Mission,,
GP,Glen Park,GLEN,Glen Park
GP,Glen Park,place_GLEN,Glen Park
BP,Balboa Park,BALB,Balboa Park
BP,Balboa Park,place_BALB,Balboa Park
DC,Daly City,DALY,Daly City
DC,Daly City,place_DALY,Daly City
CM,Colma,COLM,Colma
CM,Colma,place_COLM,Colma
CV,Castro Valley,CAST,Castro Valley
CV,Castro Valley,place_CAST,Castro Valley
ED,Dublin/Pleasanton,,
NC,North Concord,,
WP,Pittsburg/Bay Point,,
SS,South San Francisco,SSAN,South San Francisco
SS,South San Francisco,place_SSAN,South San Francisco
SB,San Bruno,SBRN,San Bruno
SB,San Bruno,place_SBRN,San Bruno
SO,San Francisco International Airport,SFIA,San Francisco International Airport
SO,San Francisco International Airport,place_SFIA,San Francisco International Airport
MB,Millbrae,place_MLBR,Millbrae
