from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
MCAR,MCAR,2,20,1,4,,
MCAR,MCAR,2,240,7,2,,
MCAR,MCAR,2,240,2,7,,
MCAR,MCAR,2,20,4,1,,
MCAR,MCAR,2,20,1,7,,
MCAR,MCAR,2,20,7,1,,
MCAR,MCAR,2,20,4,7,,
MCAR,MCAR,2,20,7,4,,
MCAR,MCAR,2,240,1,3,,
MCAR,MCAR,2,240,1,8,,
MCAR,MCAR,2,240,4,2,,
19TH,19TH,2,20,2,8,,
19TH,19TH,2,20,8,2,,
19TH,19TH,2,20,2,3,,
19TH,19TH,2,20,3,2,,
COLS,COLS,2,240,3,20,,
COLS,COLS,2,240,19,3,,
COLS,COLS,2,240,4,20,,
COLS,COLS,2,240,19,4,,
COLS,COLS,2,240,5,20,,
COLS,COLS,2,240,19,5,,
COLS,COLS,2,240,11,20,,
COLS,COLS,2,240,19,11,,
COLS,COLS,2,240,12,20,,
COLS,COLS,2,240,19,12,,
COLS,COLS,2,240,6,20,,
COLS,COLS,2,240,19,6,,
BALB,BALB,2,20,,,,
SBRN,SBRN,2,20,,,,
SFIA,SFIA,2,60,,,,
MLBR,MLBR,2,60,,,,
BAYF,BAYF,2,240,3,6,,
BAYF,BAYF,2,240,3,12,,
BAYF,BAYF,2,240,5,4,,
BAYF,BAYF,2,240,5,12,,
BAYF,BAYF,2,240,11,4,,
BAYF,BAYF,2,240,11,6,,
BAYF,BAYF,2,240,4,5,,
BAYF,BAYF,2,240,4,11,,
BAYF,BAYF,2,240,6,3,,
BAYF,BAYF,2,240,6,11,,
BAYF,BAYF,2,240,12,3,,
BAYF,BAYF,2,240,12,5,,
BAYF,BAYF,2,120,3,5,,
BAYF,BAYF,2,120,3,11,,
BAYF,BAYF,2,120,5,3,,
BAYF,BAYF,2,120,5,11,,
BAYF,BAYF,2,120,11,3,,
BAYF,BAYF,2,120,11,5,,
BAYF,BAYF,2,120,4,12,,
BAYF,BAYF,2,120,12,4,,
BAYF,BAYF,2,120,4,6,,
BAYF,BAYF,2,120,6,4,,
BAYF,BAYF,2,120,6,12,,
BAYF,BAYF,2,120,12,6,,
24TH,24TH,2,20,,,976865,983738
24TH,24TH,2,20,,,976861,983763
24TH,24TH,2,20,,,976837,983766
24TH,24TH,2,20,,,976838,983739
24TH,24TH,2,20,,,976839,983741
24TH,24TH,2,20,,,976840,983742
24TH,24TH,2,20,,,976841,983743
24TH,24TH,2,20,,,976842,983744
24TH,24TH,2,20,,,976843,983745
24TH,24TH,2,20,,,976844,983746
24TH,24TH,2,20,,,976845,983747
24TH,24TH,2,20,,,976846,983748
24TH,24TH,2,20,,,976847,983749
24TH,24TH,2,20,,,976848,983750
24TH,24TH,2,20,,,976849,983751
24TH,24TH,2,20,,,976850,983752
24TH,24TH,2,20,,,976851,983753
24TH,24TH,2,20,,,976852,983754
24TH,24TH,2,20,,,976853,983755
24TH,24TH,2,20,,,976854,983756
24TH,24TH,2,20,,,976855,983757
24TH,24TH,2,20,,,976856,983758
24TH,24TH,2,20,,,983710,976869
24TH,24TH,2,20,,,983712,976870
24TH,24TH,2,20,,,983713,976871
24TH,24TH,2,20,,,983714,976872
24TH,24TH,2,20,,,983715,976873
24TH,24TH,2,20,,,983716,976874
24TH,24TH,2,20,,,983717,976875
24TH,24TH,2,20,,,983718,976876
24TH,24TH,2,20,,,983719,976877
24TH,24TH,2,20,,,983720,976878
24TH,24TH,2,20,,,983721,976879
24TH,24TH,2,20,,,983722,976880
24TH,24TH,2,20,,,983723,976881
24TH,24TH,2,20,,,983724,976882
24TH,24TH,2,20,,,983725,976883
24TH,24TH,2,20,,,983726,976884
24TH,24TH,2,20,,,983727,976885
24TH,24TH,2,20,,,983728,976886
24TH,24TH,2,20,,,983729,976887
24TH,24TH,2,20,,,983730,976888
24TH,24TH,2,20,,,983731,976889
24TH,24TH,2,20,,,983732,976890
MCAR,MCAR,2,20,,,1050396,1050404
MCAR,MCAR,2,20,,,1050399,1050454
MCAR,MCAR,2,20,,,1050443,1050415
