id,name,lat,lon
LAKE,Lake Merritt,37.797322,-122.265247
FTVL,Fruitvale,37.774841,-122.224081
COLS,Coliseum,37.753576,-122.196716
SANL,San Leandro,37.721784,-122.16074
BAYF,Bay Fair,37.696908,-122.126446
HAYW,Hayward,37.669699,-122.086958
SHAY,South Hayward,37.63434,-122.057182
UCTY,Union City,37.590735,-122.017248
FRMT,Fremont,37.55748,-121.976619
ROCK,Rockridge,37.844755,-122.251235
ORIN,Orinda,37.878481,-122.183667
LAFY,Lafayette,37.893183,-122.12462
WCRK,Walnut Creek,37.905791,-122.067327
PHIL,Pleasant Hill / Contra Costa Centre,37.928434,-122.055971
CONC,Concord,37.973757,-122.029072
NCON,North Concord / Martinez,38.003383,-122.024512
PITT,Pittsburg / Bay Point,38.01891,-121.944236
PCTR,Pittsburg Center,38.016847,-121.889062
ANTC,Antioch,37.995373,-121.780346
OAKL,Oakland International Airport Station,37.713268,-122.2122
12TH,12th Street / Oakland City Center,37.803482,-122.27163
19TH,19th Street Oakland,37.808078,-122.268758
MCAR,MacArthur,37.828803,-122.267105
CAST,Castro Valley,37.690737,-122.075601
WDUB,West Dublin / Pleasanton,37.699721,-121.928277
DUBL,Dublin / Pleasanton,37.701646,-121.899229
WOAK,West Oakland,37.804888,-122.295151
EMBR,Embarcadero,37.792762,-122.397037
MONT,Montgomery Street,37.789173,-122.401587
POWL,Powell Street,37.784606,-122.407331
CIVC,Civic Center / UN Plaza,37.779408,-122.413826
16TH,16th Street / Mission,37.765173,-122.419704
24TH,24th Street / Mission,37.752419,-122.418468
GLEN,Glen Park,37.733235,-122.433515
BALB,Balboa Park,37.721747,-122.447457
DALY,Daly City,37.706259,-122.468908
ASHB,Ashby,37.853072,-122.269771
DBRK,Downtown Berkeley,37.87011,-122.268109
NBRK,North Berkeley,37.874005,-122.283523
PLZA,El Cerrito Plaza,37.90261,-122.29892
DELN,El Cerrito Del Norte,37.925184,-122.316892
RICH,Richmond,37.936758,-122.353047
WARM,Warm Springs / South Fremont,37.502285,-121.939395
MLPT,Milpitas,37.410277,-121.891081
BERY,Berryessa / North San Jose,37.368473,-121.874681
COLM,Colma,37.684635,-122.466157
SSAN,South San Francisco,37.664462,-122.444211
SBRN,San Bruno,37.63773,-122.416326
MLBR,Millbrae (Caltrain Transfer Platform),37.600237,-122.386757
SFIA,San Francisco International Airport,37.616091,-122.391954
